,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
0,Tata Consultancy Services,39 office locations,10000+ Employees,Computer Hardware Development,47.8TSalaries,1.9TJobs,3.9★,1.1LReviews
1,Accenture,37 office locations,10000+ Employees,Business Consulting,27.4TSalaries,36TJobs,4.1★,1.3LReviews
2,Infosys,34 office locations,10000+ Employees,Information Technology Support Services,30.9TSalaries,3.5TJobs,3.9★,87TReviews
3,Amazon,65 office locations,10000+ Employees,Internet & Web Services,10.2TSalaries,33.9TJobs,4.3★,1.5LReviews
4,Cognizant Technology Solutions,27 office locations,10000+ Employees,Information Technology Support Services,34.7TSalaries,5.8TJobs,3.9★,80.9TReviews
5,Deloitte,31 office locations,10000+ Employees,Accounting & Tax,15.8TSalaries,80.2TJobs,4.1★,88TReviews
6,IBM,37 office locations,10000+ Employees,Information Technology Support Services,8.4TSalaries,8.1TJobs,4.1★,97TReviews
7,Capgemini,53 office locations,10000+ Employees,Enterprise Software & Network Solutions,28TSalaries,9.1TJobs,4.0★,61.7TReviews
8,Wipro,38 office locations,10000+ Employees,Information Technology Support Services,20.7TSalaries,2.7TJobs,3.8★,49.3TReviews
9,EY,"Headquarters in London, United Kingdom",10000+ Employees,Accounting & Tax,9.2TSalaries,56.1TJobs,3.9★,63.5TReviews
10,HCLTech,26 office locations,10000+ Employees,Computer Hardware Development,11.8TSalaries,564Jobs,3.7★,37.1TReviews
11,Oracle,44 office locations,10000+ Employees,Enterprise Software & Network Solutions,4.8TSalaries,4.6TJobs,3.9★,44.8TReviews
12,PwC,49 office locations,1001 to 5000 Employees,Accounting & Tax,6.1TSalaries,39.8TJobs,3.9★,64.5TReviews
13,Tech Mahindra,29 office locations,10000+ Employees,Information Technology Support Services,9.9TSalaries,733Jobs,3.6★,29.2TReviews
14,Microsoft,60 office locations,10000+ Employees,Computer Hardware Development,4.3TSalaries,1.8TJobs,4.4★,43.9TReviews
15,KPMG,25 office locations,10000+ Employees,Business Consulting,5.8TSalaries,32.9TJobs,3.8★,49.9TReviews
16,Google,"Headquarters in Mountain View, CA",10000+ Employees,Internet & Web Services,3.5TSalaries,2.2TJobs,4.5★,37.2TReviews
17,Teleperformance,37 office locations,5001 to 10000 Employees,Telecommunications Services,2.2TSalaries,2.9TJobs,4.6★,39.4TReviews
